rank,stim_current,input_tau_e,input_adapt_inc,input_std_u,input_std_tau_rec,original_mi,original_r20,mean_rate_hz,spike_bsa_r_20ms,mi_5ms_q4,mi_5ms_q8,mi_5ms_q16,mi_5ms_q32,mi_10ms_q4,mi_10ms_q8,mi_10ms_q16,mi_10ms_q32,mi_20ms_q4,mi_20ms_q8,mi_20ms_q16,mi_20ms_q32,mi_50ms_q4,mi_50ms_q8,mi_50ms_q16,mi_50ms_q32
25,0.7197,0.57,0.0050,0.0000,0.0,1.1780,0.8126,114.22,0.8468,0.6406,0.9655,1.3085,1.7503,0.7449,1.0798,1.3967,1.7953,0.8286,1.1762,1.4968,1.9149,0.9350,1.3099,1.6649,2.2001
26,3.7276,0.31,0.0158,0.0000,0.0,1.1780,0.7860,118.84,0.8223,0.6665,1.0006,1.3492,1.7843,0.7628,1.1113,1.4287,1.8277,0.8212,1.1710,1.4864,1.9044,0.9235,1.2932,1.6451,2.1946
27,0.7197,0.57,0.0000,0.0000,0.0,1.1779,0.8033,115.21,0.8393,0.6412,0.9686,1.3127,1.7529,0.7480,1.0882,1.4071,1.8066,0.8324,1.1856,1.5113,1.9315,0.9353,1.3077,1.6615,2.1995
28,5.0000,0.17,0.0158,0.0000,0.0,1.1778,0.7865,115.82,0.8187,0.6535,0.9802,1.3256,1.7690,0.7584,1.1009,1.4159,1.8135,0.8095,1.1575,1.4721,1.8901,0.9077,1.2732,1.6187,2.1672
29,1.9307,0.57,0.0000,0.0000,0.0,1.1771,0.7803,121.07,0.8167,0.6751,1.0121,1.3612,1.7898,0.7644,1.1162,1.4352,1.8368,0.8318,1.1926,1.5143,1.9450,0.9255,1.2994,1.6579,2.2088
30,3.7276,0.31,0.0050,0.0000,0.0,1.1767,0.7839,119.13,0.8210,0.6667,1.0021,1.3505,1.7848,0.7630,1.1128,1.4302,1.8294,0.8239,1.1750,1.4910,1.9112,0.9226,1.2901,1.6436,2.1928
31,5.0000,0.57,0.1581,0.0000,0.0,1.1765,0.7835,121.58,0.8198,0.6784,1.0153,1.3629,1.7901,0.7663,1.1175,1.4401,1.8440,0.8371,1.1939,1.5141,1.9416,0.9241,1.2956,1.6501,2.2019
32,0.1931,1.93,0.0000,0.0000,0.0,1.1765,0.7935,116.86,0.8297,0.6360,0.9603,1.3038,1.7426,0.7327,1.0720,1.3887,1.7949,0.8045,1.1465,1.4588,1.8868,0.9281,1.3008,1.6638,2.2115
33,3.7276,0.57,0.1581,0.0000,0.0,1.1759,0.7940,120.26,0.8290,0.6756,1.0104,1.3593,1.7889,0.7613,1.1039,1.4204,1.8181,0.8389,1.1936,1.5141,1.9399,0.9384,1.3116,1.6689,2.2158
34,3.7276,0.31,0.0000,0.0000,0.0,1.1759,0.7839,119.26,0.8202,0.6672,1.0027,1.3513,1.7848,0.7607,1.1086,1.4241,1.8218,0.8200,1.1686,1.4822,1.8999,0.9202,1.2897,1.6437,2.1949
