stim_current,input_tau_e,input_adapt_inc,input_std_u,input_std_tau_rec,mean_rate_hz,mean_isi_cv,mean_refrac_frac,mean_mod_depth,spike_bsa_r_5ms,spike_bsa_r_10ms,spike_bsa_r_20ms,spike_bsa_r_50ms,spike_bsa_r_100ms,mean_burst_frac,mean_fano_factor,mean_temporal_sparseness,mean_dynamic_range,mean_mi_bits,n_active_neurons,composite_score
0.0100,0.17,0.0050,0.1000,30.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,0.0000
0.0100,0.17,0.0050,0.1500,80.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,0.0000
0.0100,0.17,0.0050,0.2500,50.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,0.0000
0.0100,0.17,0.0050,0.3500,120.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,0.0000
0.0100,0.17,0.0158,0.0000,0.0,0.83,0.0000,0.0000,0.3667,0.0508,0.0667,0.1020,0.1597,0.2065,0.0000,0.3222,0.3667,0.0000,0.0035,0.4,0.0000
0.0100,0.17,0.0158,0.1000,30.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,0.0000
0.0100,0.17,0.0158,0.1500,80.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,0.0000
0.0100,0.17,0.0158,0.2500,50.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,0.0000
0.0100,0.17,0.0158,0.3500,120.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,0.0000
0.0100,0.17,0.0500,0.0000,0.0,1.01,0.0000,0.0000,0.4000,0.0606,0.0786,0.1198,0.1852,0.2065,0.0000,0.3444,0.4000,0.0000,0.0045,0.4,0.0000
0.0100,0.17,0.0500,0.1000,30.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,0.0000
0.0100,0.17,0.0500,0.1500,80.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,0.0000
0.0100,0.17,0.0500,0.2500,50.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,0.0000
0.0100,0.17,0.0500,0.3500,120.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,0.0000
0.0100,0.17,0.1581,0.0000,0.0,0.89,0.0000,0.0000,0.3667,0.0493,0.0659,0.1009,0.1615,0.1888,0.0000,0.3192,0.3667,0.0000,0.0037,0.4,0.0000
0.0100,0.17,0.1581,0.1000,30.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,0.0000
0.0100,0.17,0.1581,0.1500,80.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,0.0000
0.0100,0.17,0.1581,0.2500,50.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,0.0000
0.0100,0.17,0.1581,0.3500,120.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,0.0000
