step,t_ms,v,g_e,g_i,g_i_slow,g_nmda,adaptation,i_e,i_i,i_i_slow,i_nmda,i_adapt,v_noise,ge_noise,gi_noise,spiked
0,0.0000,-66.97068284,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0
1,0.1000,-66.97068284,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0
2,0.2000,-66.97068284,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0
3,0.3000,-66.97068284,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0
4,0.4000,-66.97068284,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0
5,0.5000,-66.97068284,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0
6,0.6000,-66.97068284,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0
7,0.7000,-66.97068284,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0
8,0.8000,-66.97068284,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0
9,0.9000,-66.97068284,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0
10,1.0000,-66.97068284,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0
11,1.1000,-66.97068284,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0
12,1.2000,-66.97068284,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0
13,1.3000,-66.97068284,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0
14,1.4000,-66.97068284,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0
15,1.5000,-66.97068284,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0
16,1.6000,-66.97068284,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0
17,1.7000,-66.97068284,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0
18,1.8000,-66.97068284,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0
19,1.9000,-66.97068284,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0
20,2.0000,-66.97068284,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0
21,2.1000,-66.97068284,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0
22,2.2000,-66.97068284,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0
23,2.3000,-66.97068284,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0
24,2.4000,-66.97068284,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0
25,2.5000,-66.97068284,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0
26,2.6000,-66.97068284,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0
27,2.7000,-66.97068284,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0
28,2.8000,-66.97068284,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0
29,2.9000,-65.04956082,0.27215441,0.00000000,0.00000000,0.13943655,0.00000000,17.70352481,-0.00000000,-0.00000000,0.53964558,-0.00000000,0.00000000,0.00000000,0.00000000,0
30,3.0000,-62.59271606,0.36032045,0.00000000,0.00000000,0.18796048,0.00000000,22.55343536,-0.00000000,-0.00000000,0.80723657,-0.00000000,-0.00000000,0.00000000,0.00000000,0
31,3.1000,-60.30811754,0.35093692,0.00000000,0.00000000,0.18758494,0.00000000,21.16434521,-0.00000000,-0.00000000,0.88509327,-0.00000000,0.00000000,0.00000000,0.00000000,0
32,3.2000,-58.18150079,0.34179777,0.00000000,0.00000000,0.18721014,0.00000000,19.88630708,-0.00000000,-0.00000000,0.96167615,-0.00000000,0.00000000,0.00000000,0.00000000,0
33,3.3000,-55.94199650,0.37426529,0.00000000,0.00000000,0.20803107,0.00000000,20.93714729,-0.00000000,-0.00000000,1.16522023,-0.00000000,-0.00000000,0.00000000,0.00000000,0
34,3.4000,-75.00000000,0.36451861,0.12242623,0.00000000,0.20761542,0.33675865,27.33889567,-0.61213117,-0.00000000,0.51397565,-5.05137968,-0.00000000,0.00000000,0.00000000,1
35,3.5000,-75.00000000,0.35502576,0.97457454,0.00000000,0.20720061,0.33653443,26.62693177,-4.87287271,-0.00000000,0.51294873,-5.04801642,0.00000000,0.00000000,0.00000000,0
36,3.6000,-75.00000000,0.34578012,2.05379343,0.00000000,0.20678662,0.33631036,25.93350894,-10.26896715,-0.00000000,0.51192386,-5.04465539,0.00000000,0.00000000,0.00000000,0
37,3.7000,-75.00000000,0.33677526,2.15268122,0.00000000,0.20637346,0.33608644,25.25814435,-10.76340609,-0.00000000,0.51090103,-5.04129660,-0.00000000,0.00000000,0.00000000,0
38,3.8000,-75.00000000,0.32800490,3.79528216,0.00000000,0.20596112,0.33586267,24.60036771,-18.97641082,-0.00000000,0.50988025,-5.03794005,-0.00000000,0.00000000,0.00000000,0
39,3.9000,-75.00000000,0.41808951,4.73019128,0.00000000,0.25608030,0.33563905,31.35671347,-23.65095641,-0.00000000,0.63395598,-5.03458574,-0.00000000,0.00000000,0.00000000,0
40,4.0000,-75.00000000,0.84200592,6.15193079,0.00000000,0.47833785,0.33541558,63.15044399,-30.75965396,-0.00000000,1.18417990,-5.03123365,-0.00000000,0.00000000,0.00000000,0
41,4.1000,-75.00000000,1.00909896,7.04801438,0.00000000,0.57422566,0.33519225,75.68242193,-35.24007190,-0.00000000,1.42156110,-5.02788380,0.00000000,0.00000000,0.00000000,0
42,4.2000,-75.00000000,1.12966592,7.55874714,0.00000000,0.64831399,0.33496908,84.72494390,-37.79373571,-0.00000000,1.60497522,-5.02453618,-0.00000000,0.00000000,0.00000000,0
43,4.3000,-75.00000000,1.21046340,8.37130835,0.00000000,0.70348733,0.33474605,90.78475501,-41.85654177,-0.00000000,1.74156311,-5.02119079,0.00000000,0.00000000,0.00000000,0
