step,t_ms,v,g_e,g_i,g_i_slow,g_nmda,adaptation,i_e,i_i,i_i_slow,i_nmda,i_adapt,v_noise,ge_noise,gi_noise,spiked
0,0.0000,-65.92734939,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0
1,0.1000,-65.92734939,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0
2,0.2000,-65.92734939,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0
3,0.3000,-65.92734939,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0
4,0.4000,-65.92734939,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0
5,0.5000,-65.92734939,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0
6,0.6000,-65.92734939,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0
7,0.7000,-65.92734939,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0
8,0.8000,-65.92734939,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0
9,0.9000,-65.92734939,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0
10,1.0000,-65.92734939,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0
11,1.1000,-65.92734939,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0
12,1.2000,-65.92734939,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0
13,1.3000,-65.92734939,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0
14,1.4000,-65.92734939,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0
15,1.5000,-65.92734939,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0
16,1.6000,-65.92734939,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0
17,1.7000,-65.92734939,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0
18,1.8000,-65.92734939,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0
19,1.9000,-65.92734939,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0
20,2.0000,-65.92734939,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0
21,2.1000,-65.92734939,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0
22,2.2000,-65.92734939,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0
23,2.3000,-65.92734939,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0
24,2.4000,-65.92734939,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0
25,2.5000,-65.92734939,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0
26,2.6000,-65.92734939,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0
27,2.7000,-65.92734939,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0
28,2.8000,-65.92734939,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0
29,2.9000,-65.92734939,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0
30,3.0000,-65.92734939,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0
31,3.1000,-65.92734939,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0
32,3.2000,-65.92734939,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0
33,3.3000,-65.92734939,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0
34,3.4000,-65.92734939,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0
35,3.5000,-65.92734939,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0
36,3.6000,-65.92734939,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0
37,3.7000,-65.92734939,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0
38,3.8000,-65.79619240,0.01808691,0.00000000,0.00000000,0.00000000,0.00000000,1.19004999,-0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0
39,3.9000,-65.67835117,0.01644383,0.00000000,0.00000000,0.00000000,0.00000000,1.08000386,-0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0
40,4.0000,-65.57256017,0.01495002,0.00000000,0.00000000,0.00000000,0.00000000,0.98031089,-0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0
41,4.1000,-65.47767717,0.01359190,0.00000000,0.00000000,0.00000000,0.00000000,0.88996632,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0
42,4.2000,-65.39267052,0.01235717,0.00000000,0.00000000,0.00000000,0.00000000,0.80806817,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0
43,4.3000,-65.31660797,0.01123460,0.00000000,0.00000000,0.00000000,0.00000000,0.73380585,-0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0
44,4.4000,-65.24864655,0.01021401,0.00000000,0.00000000,0.00000000,0.00000000,0.66645016,-0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0
45,4.5000,-65.18802374,0.00928613,0.00000000,0.00000000,0.00000000,0.00000000,0.60534451,-0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0
46,4.6000,-65.13404940,0.00844255,0.00000000,0.00000000,0.00000000,0.00000000,0.54989718,-0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0
47,4.7000,-65.08609871,0.00767559,0.00000000,0.00000000,0.00000000,0.00000000,0.49957451,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0
48,4.8000,-65.04360577,0.00697832,0.00000000,0.00000000,0.00000000,0.00000000,0.45389486,-0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0
49,4.9000,-65.00605783,0.00634438,0.00000000,0.00000000,0.00000000,0.00000000,0.41242321,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0
50,5.0000,-64.97299022,0.00576804,0.00000000,0.00000000,0.00000000,0.00000000,0.37476649,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0
51,5.1000,-64.94398170,0.00524405,0.00000000,0.00000000,0.00000000,0.00000000,0.34056924,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0
52,5.2000,-64.91865030,0.00476766,0.00000000,0.00000000,0.00000000,0.00000000,0.30950995,-0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0
53,5.3000,-64.89664959,0.00433455,0.00000000,0.00000000,0.00000000,0.00000000,0.28129760,-0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0
54,5.4000,-64.87766534,0.00394078,0.00000000,0.00000000,0.00000000,0.00000000,0.25566872,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0
55,5.5000,-64.86141242,0.00358279,0.00000000,0.00000000,0.00000000,0.00000000,0.23238463,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0
56,5.6000,-64.84763213,0.00325731,0.00000000,0.00000000,0.00000000,0.00000000,0.21122910,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0
57,5.7000,-64.83608966,0.00296141,0.00000000,0.00000000,0.00000000,0.00000000,0.19200611,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0
58,5.8000,-64.82657191,0.00269238,0.00000000,0.00000000,0.00000000,0.00000000,0.17453797,-0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0
59,5.9000,-64.81888542,0.00244780,0.00000000,0.00000000,0.00000000,0.00000000,0.15866350,-0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0
60,6.0000,-64.81285459,0.00222543,0.00000000,0.00000000,0.00000000,0.00000000,0.14423653,-0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0
61,6.1000,-64.80831996,0.00202326,0.00000000,0.00000000,0.00000000,0.00000000,0.13112439,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0
62,6.2000,-64.80513679,0.00183946,0.00000000,0.00000000,0.00000000,0.00000000,0.11920673,-0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0
63,6.3000,-64.80317362,0.00167236,0.00000000,0.00000000,0.00000000,0.00000000,0.10837428,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0
64,6.4000,-64.80231112,0.00152044,0.00000000,0.00000000,0.00000000,0.00000000,0.09852787,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0
65,6.5000,-64.80244091,0.00138232,0.00000000,0.00000000,0.00000000,0.00000000,0.08957742,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0
66,6.6000,-64.80346460,0.00125674,0.00000000,0.00000000,0.00000000,0.00000000,0.08144118,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0
67,6.7000,-64.80529283,0.00114257,0.00000000,0.00000000,0.00000000,0.00000000,0.07404486,-0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0
68,6.8000,-64.80784446,0.00103878,0.00000000,0.00000000,0.00000000,0.00000000,0.06732101,-0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0
69,6.9000,-64.81104584,0.00094441,0.00000000,0.00000000,0.00000000,0.00000000,0.06120836,-0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0
70,7.0000,-64.81483008,0.00085862,0.00000000,0.00000000,0.00000000,0.00000000,0.05565122,-0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0
71,7.1000,-64.81913646,0.00078062,0.00000000,0.00000000,0.00000000,0.00000000,0.05059903,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0
72,7.2000,-64.82390984,0.00070970,0.00000000,0.00000000,0.00000000,0.00000000,0.04600582,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0
73,7.3000,-64.82910019,0.00064523,0.00000000,0.00000000,0.00000000,0.00000000,0.04182984,-0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0
74,7.4000,-64.83466209,0.00058662,0.00000000,0.00000000,0.00000000,0.00000000,0.03803313,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0
75,7.5000,-64.84055430,0.00053333,0.00000000,0.00000000,0.00000000,0.00000000,0.03458121,-0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0
76,7.6000,-64.84673943,0.00048488,0.00000000,0.00000000,0.00000000,0.00000000,0.03144273,-0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0
77,7.7000,-64.85318352,0.00044083,0.00000000,0.00000000,0.00000000,0.00000000,0.02858920,-0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0
78,7.8000,-64.85985578,0.00040078,0.00000000,0.00000000,0.00000000,0.00000000,0.02599473,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0
