time_ms,neuron_id,zone
59.0000,564,reservoir
59.0000,607,reservoir
59.1000,229,reservoir
59.1000,388,input
59.3000,22,reservoir
59.4000,72,input
59.4000,331,reservoir
59.4000,621,reservoir
59.5000,29,reservoir
59.5000,54,reservoir
59.5000,265,input
59.5000,562,input
59.6000,18,input
59.6000,349,input
59.6000,599,reservoir
59.7000,233,reservoir
59.7000,289,input
59.8000,9,reservoir
59.8000,75,reservoir
59.8000,681,reservoir
59.9000,16,reservoir
59.9000,632,reservoir
60.1000,96,input
60.1000,258,reservoir
60.2000,491,reservoir
60.2000,498,reservoir
60.2000,649,reservoir
60.4000,95,reservoir
60.4000,212,reservoir
60.4000,244,reservoir
60.4000,457,input
60.5000,253,reservoir
60.5000,297,reservoir
60.6000,308,input
60.6000,458,reservoir
60.6000,493,input
60.6000,685,input
60.6000,699,reservoir
60.7000,243,reservoir
60.7000,372,input
60.7000,592,input
60.8000,208,reservoir
60.8000,636,reservoir
60.9000,1,reservoir
60.9000,397,input
61.0000,415,input
61.1000,634,input
61.2000,62,input
61.2000,342,reservoir
61.2000,360,reservoir
61.4000,192,input
61.4000,257,reservoir
61.4000,395,input
61.5000,148,reservoir
61.5000,552,reservoir
61.5000,659,reservoir
61.6000,175,reservoir
61.7000,90,input
61.7000,324,reservoir
61.7000,377,reservoir
61.8000,86,reservoir
61.8000,391,reservoir
61.8000,545,reservoir
61.8000,607,reservoir
61.8000,621,reservoir
61.9000,130,reservoir
61.9000,353,reservoir
61.9000,390,reservoir
61.9000,568,reservoir
62.0000,293,input
62.1000,29,reservoir
62.1000,45,reservoir
62.1000,706,reservoir
62.2000,467,input
62.2000,476,reservoir
62.3000,75,reservoir
62.3000,101,reservoir
62.3000,140,reservoir
62.3000,351,input
62.3000,438,reservoir
62.5000,527,reservoir
62.5000,575,reservoir
62.5000,619,input
62.7000,407,reservoir
62.8000,24,reservoir
62.8000,146,reservoir
62.9000,113,reservoir
62.9000,233,reservoir
62.9000,253,reservoir
63.0000,531,reservoir
63.2000,331,reservoir
63.3000,111,reservoir
63.3000,285,input
63.3000,305,input
63.3000,726,reservoir
63.4000,147,input
63.5000,379,input
63.5000,649,reservoir
63.6000,722,input
63.7000,85,input
63.7000,136,input
63.7000,435,reservoir
63.9000,342,reservoir
63.9000,490,input
64.0000,162,reservoir
64.0000,347,reservoir
64.0000,497,reservoir
64.0000,498,reservoir
64.0000,515,reservoir
64.2000,215,reservoir
